City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
551,Ballina,AU,75.38,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
552,Nouadhibou,MR,68.02,broken clouds,20.931,-17.0347,El Medina
553,Pasighat,IN,73.6,overcast clouds,28.0667,95.3333,Siang Guest House
558,Kundiawa,PG,79.38,overcast clouds,-6.0167,144.9667,Pari
561,Dogondoutchi,NE,71.62,clear sky,13.6393,4.0287,Hôtel Alheri Maison Alheri
564,Sur,OM,71.91,clear sky,22.5667,59.5289,Sur Plaza Hotel
565,Cabedelo,BR,79.47,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
568,Loikaw,MM,69.19,broken clouds,19.6742,97.2094,Myat Nan Taw Hotel
570,Baihar,IN,68.74,clear sky,22.1,80.55,T3 RESORT & RESEARCH CENTRE
578,Makakilo City,US,71.92,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
580,Sayula,MX,63.52,overcast clouds,19.8667,-103.6167,Gran Casa Sayula Hotel Galeria And Spa
582,Ati,TD,72.86,broken clouds,13.2154,18.3353,
587,Odienne,CI,69.39,broken clouds,9.51,-7.5692,Oustaz Vame DIAKITE
590,Arlit,NE,64.94,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
593,Myanaung,MM,77.32,broken clouds,18.2833,95.3167,Taung Hlay Khar
598,Kalamare,BW,64.27,overcast clouds,-22.9337,26.5703,
600,Upata,VE,73.18,scattered clouds,8.0086,-62.3989,Posada Villa Nela
604,Rio Tercero,AR,66.79,overcast clouds,-32.173,-64.1141,"Hotel Vélez Sarsfield ""Low Cost"""
605,Palora,EC,66.04,light rain,-1.7,-77.9333,Rancho grande
613,Ygatimi,PY,75.88,broken clouds,-24.0833,-55.5,
616,Pisco,PE,66.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
617,Mana,GF,76.41,light rain,5.6592,-53.7767,LE SAMANA
618,Airai,TL,71.4,overcast clouds,-8.9266,125.4092,Juvinal Martin
622,Richards Bay,ZA,76.33,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
623,Pitimbu,BR,79.39,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
626,Sumbe,AO,77.14,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
636,Sao Leopoldo,BR,71.69,broken clouds,-29.7603,-51.1472,Hotel Suárez São Leopoldo
637,Porto Murtinho,BR,79.66,overcast clouds,-21.6989,-57.8825,Hotel Pantanal
639,Manaus,BR,79.29,clear sky,-3.1019,-60.025,Manaus Hotéis Millennium
643,Umm Kaddadah,SD,66.58,clear sky,13.6017,26.6876,
644,Tecolotlan,MX,67.95,overcast clouds,20.2167,-104.05,Hotel Albatros
647,Kamphaeng Phet,TH,71.44,overcast clouds,16.25,99.5,ฟาร์มแพะ หนองผักหนาม
648,Teseney,ER,71.26,clear sky,15.11,36.6575,Sabrin Hotel
652,Caravelas,BR,73.65,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
653,Cacule,BR,67.44,broken clouds,-14.5033,-42.2222,Radar Palace Hotel
658,Khandbari,NP,66.47,clear sky,27.3747,87.2039,Sainik Hotel And Lodge
662,Muisne,EC,74.44,overcast clouds,0.6,-80.0333,Quinta Samay
664,Qeshm,IR,60.69,scattered clouds,26.9581,56.2719,Qeshm Kavan Hotel
665,Luanda,AO,76.3,light rain,-8.8368,13.2343,Hotel Fórum
666,Kasongo-Lunda,CD,67.96,overcast clouds,-6.4667,16.8167,
670,Cooma,AU,69.39,overcast clouds,-36.2333,149.1333,High Country Motel
671,Tecoanapa,MX,78.87,clear sky,16.5167,-98.75,Hotel Manglares
672,Samana,DO,77.0,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
674,Puerto Narino,CO,76.95,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
678,Mlowo,TZ,60.71,overcast clouds,-9.0,32.9833,Mchacho Drinks & Guest house
679,Antalaha,MG,75.67,few clouds,-14.9003,50.2788,Hotel Vitasoa
680,Cravo Norte,CO,79.21,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
682,Alta Floresta,BR,72.32,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
683,Belmonte,BR,73.9,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
685,Guane,CU,70.21,clear sky,22.2025,-84.0875,base de Campismo LosPortales de Guane
687,Bac Lieu,VN,78.19,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
688,Manta,EC,73.18,broken clouds,-0.95,-80.7333,Balandra Hotel
690,Xai-Xai,MZ,78.17,overcast clouds,-25.0519,33.6442,Complexo da Familia
691,Umtata,ZA,60.75,broken clouds,-31.5889,28.7844,LLZZ Boutique Lodge
695,Sambava,MG,75.81,light rain,-14.2667,50.1667,Melrose
